date,expiry,strike,type,bid,ask,last_price,underlying,implied_volatility,days_to_expiry
2025-08-11,2025-10-10,19622.57,call,102.06,112.8,107.43,18000,0.228,60
2025-08-11,2025-08-25,16761.58,call,57.06,63.07,60.07,18000,0.1959,14
2025-08-11,2025-09-10,16274.1,put,160.49,177.39,168.94,18000,0.2222,30
2025-08-11,2025-08-25,16854.57,call,104.59,115.6,110.1,18000,0.2117,14
2025-08-11,2025-11-09,17755.0,call,68.38,75.57,71.97,18000,0.2025,90
2025-08-11,2025-10-10,19705.52,call,134.27,148.4,141.33,18000,0.1956,60
2025-08-11,2025-09-10,17576.86,put,7.94,8.78,8.36,18000,0.2092,30
2025-08-11,2025-09-10,18649.11,call,162.26,179.34,170.8,18000,0.1565,30
2025-08-11,2025-10-10,18227.84,put,16.7,18.46,17.58,18000,0.1805,60
2025-08-11,2025-10-10,17067.69,put,84.68,93.59,89.13,18000,0.1622,60
2025-08-11,2025-09-10,19473.55,put,129.17,142.76,135.97,18000,0.1682,30
2025-08-11,2025-08-25,18243.72,call,132.55,146.5,139.52,18000,0.247,14
2025-08-11,2025-08-25,17622.54,put,157.64,174.23,165.94,18000,0.2098,14
2025-08-11,2025-10-10,16362.82,put,127.79,141.24,134.52,18000,0.2345,60
2025-08-11,2025-11-09,18312.3,call,92.8,102.57,97.69,18000,0.1781,90
2025-08-11,2025-08-18,17266.58,call,168.76,186.52,177.64,18000,0.1575,7
2025-08-11,2025-08-18,16915.38,put,34.0,37.58,35.79,18000,0.1514,7
2025-08-11,2025-09-10,19044.63,call,61.3,67.75,64.52,18000,0.1574,30
2025-08-11,2025-08-18,19493.85,call,56.58,62.54,59.56,18000,0.2123,7
2025-08-11,2025-11-09,18826.58,put,95.97,106.08,101.02,18000,0.1775,90
2025-08-11,2025-09-10,16630.54,put,123.42,136.41,129.91,18000,0.2349,30
2025-08-11,2025-09-10,18081.84,call,75.13,83.03,79.08,18000,0.1611,30
2025-08-11,2025-09-10,16313.15,call,96.32,106.46,101.39,18000,0.1975,30
